id, x, y, theta, volume, gfp, rfp, yfp, cfp
83, 342.915222, -314.344757, 8.363375, 2.600188, 0, 130, 0, 0
84, 493.176880, -255.001221, 11.742732, 3.376869, 168, 0, 0, 0
85, 157.686508, -621.446899, 7.502932, 4.431756, 221, 0, 0, 0
86, 381.108948, -211.577774, 9.097328, 3.218180, 160, 0, 0, 0
87, 545.937500, 196.395157, 9.669313, 3.970246, 198, 0, 0, 0
88, 342.661682, -78.976601, 5.936417, 4.177841, 208, 0, 0, 0
89, -403.523926, -388.756134, 8.118031, 2.914245, 145, 0, 0, 0
90, 381.006897, 279.274414, 7.565724, 2.850607, 0, 142, 0, 0
91, -187.927734, 473.533752, 7.565433, 3.161952, 158, 0, 0, 0
92, -474.598114, 126.135078, 9.509195, 3.534123, 0, 176, 0, 0
93, -238.329483, 474.881348, 8.005099, 2.809232, 140, 0, 0, 0
94, -436.162506, 352.687866, 8.566469, 2.914960, 0, 145, 0, 0
95, -156.715073, -173.262268, 4.002390, 3.797420, 189, 0, 0, 0
96, 135.637512, 205.574310, 6.994312, 4.373870, 0, 218, 0, 0
97, -152.567642, -449.752350, 4.498363, 3.991832, 0, 199, 0, 0
98, -460.949493, -257.714417, 9.966814, 4.141477, 207, 0, 0, 0
99, 643.689087, 35.847755, 11.837590, 3.997252, 199, 0, 0, 0
100, 41.006832, 389.459045, 7.860622, 4.023389, 0, 201, 0, 0
101, 28.086142, -562.800049, 10.565242, 3.028824, 151, 0, 0, 0
102, -365.186829, -178.368393, 9.876775, 3.299208, 164, 0, 0, 0
103, -98.018517, -536.282837, 10.584826, 3.680609, 184, 0, 0, 0
104, 235.992554, -285.807556, 8.723886, 3.165103, 0, 158, 0, 0
105, 576.663086, 331.314728, 8.085970, 4.083990, 204, 0, 0, 0
106, 105.650734, 575.300354, 7.742034, 3.751701, 0, 187, 0, 0
107, -72.697746, -304.441193, 7.644792, 3.249320, 0, 162, 0, 0
108, 612.506042, -165.232452, 10.984977, 2.922726, 0, 146, 0, 0
109, -580.828796, -68.829720, 9.194152, 3.270073, 0, 163, 0, 0
110, -621.736145, 18.788916, 8.316056, 2.951168, 0, 147, 0, 0
